@relation InstanceResultListener

@attribute Key_Dataset {0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1_man-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2_woman-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,3_old-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,4_young-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,5_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,6_no_glasses-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,7_forced-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,8_no_forced_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,9_light_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.0126110455 -M 1'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1567\nSize of the tree: 3133\n','Number of leaves: 1626\nSize of the tree: 3251\n','Number of leaves: 1570\nSize of the tree: 3139\n','Number of leaves: 1558\nSize of the tree: 3115\n','Number of leaves: 1469\nSize of the tree: 2937\n','Number of leaves: 1721\nSize of the tree: 3441\n','Number of leaves: 1628\nSize of the tree: 3255\n','Number of leaves: 1748\nSize of the tree: 3495\n','Number of leaves: 1629\nSize of the tree: 3257\n','Number of leaves: 1675\nSize of the tree: 3349\n','Number of leaves: 485\nSize of the tree: 969\n','Number of leaves: 450\nSize of the tree: 899\n','Number of leaves: 416\nSize of the tree: 831\n','Number of leaves: 330\nSize of the tree: 659\n','Number of leaves: 481\nSize of the tree: 961\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 424\nSize of the tree: 847\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 527\nSize of the tree: 1053\n','Number of leaves: 427\nSize of the tree: 853\n','Number of leaves: 315\nSize of the tree: 629\n','Number of leaves: 458\nSize of the tree: 915\n','Number of leaves: 405\nSize of the tree: 809\n','Number of leaves: 453\nSize of the tree: 905\n','Number of leaves: 526\nSize of the tree: 1051\n','Number of leaves: 471\nSize of the tree: 941\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 578\nSize of the tree: 1155\n','Number of leaves: 1358\nSize of the tree: 2715\n','Number of leaves: 1332\nSize of the tree: 2663\n','Number of leaves: 1147\nSize of the tree: 2293\n','Number of leaves: 1322\nSize of the tree: 2643\n','Number of leaves: 1304\nSize of the tree: 2607\n','Number of leaves: 1232\nSize of the tree: 2463\n','Number of leaves: 1348\nSize of the tree: 2695\n','Number of leaves: 1269\nSize of the tree: 2537\n','Number of leaves: 1300\nSize of the tree: 2599\n','Number of leaves: 1141\nSize of the tree: 2281\n','Number of leaves: 379\nSize of the tree: 757\n','Number of leaves: 366\nSize of the tree: 731\n','Number of leaves: 497\nSize of the tree: 993\n','Number of leaves: 550\nSize of the tree: 1099\n','Number of leaves: 351\nSize of the tree: 701\n','Number of leaves: 511\nSize of the tree: 1021\n','Number of leaves: 479\nSize of the tree: 957\n','Number of leaves: 707\nSize of the tree: 1413\n','Number of leaves: 473\nSize of the tree: 945\n','Number of leaves: 571\nSize of the tree: 1141\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 152\nSize of the tree: 303\n','Number of leaves: 125\nSize of the tree: 249\n','Number of leaves: 144\nSize of the tree: 287\n','Number of leaves: 124\nSize of the tree: 247\n','Number of leaves: 138\nSize of the tree: 275\n','Number of leaves: 116\nSize of the tree: 231\n','Number of leaves: 132\nSize of the tree: 263\n','Number of leaves: 131\nSize of the tree: 261\n','Number of leaves: 1605\nSize of the tree: 3209\n','Number of leaves: 1734\nSize of the tree: 3467\n','Number of leaves: 1631\nSize of the tree: 3261\n','Number of leaves: 1747\nSize of the tree: 3493\n','Number of leaves: 1735\nSize of the tree: 3469\n','Number of leaves: 1905\nSize of the tree: 3809\n','Number of leaves: 1762\nSize of the tree: 3523\n','Number of leaves: 1712\nSize of the tree: 3423\n','Number of leaves: 1720\nSize of the tree: 3439\n','Number of leaves: 1758\nSize of the tree: 3515\n','Number of leaves: 184\nSize of the tree: 367\n','Number of leaves: 137\nSize of the tree: 273\n','Number of leaves: 171\nSize of the tree: 341\n','Number of leaves: 148\nSize of the tree: 295\n','Number of leaves: 149\nSize of the tree: 297\n','Number of leaves: 172\nSize of the tree: 343\n','Number of leaves: 167\nSize of the tree: 333\n','Number of leaves: 151\nSize of the tree: 301\n','Number of leaves: 2022\nSize of the tree: 4043\n','Number of leaves: 1957\nSize of the tree: 3913\n','Number of leaves: 1889\nSize of the tree: 3777\n','Number of leaves: 2153\nSize of the tree: 4305\n','Number of leaves: 2032\nSize of the tree: 4063\n','Number of leaves: 2001\nSize of the tree: 4001\n','Number of leaves: 2016\nSize of the tree: 4031\n','Number of leaves: 1934\nSize of the tree: 3867\n','Number of leaves: 2018\nSize of the tree: 4035\n','Number of leaves: 1988\nSize of the tree: 3975\n','Number of leaves: 1856\nSize of the tree: 3711\n','Number of leaves: 1901\nSize of the tree: 3801\n','Number of leaves: 1741\nSize of the tree: 3481\n','Number of leaves: 1877\nSize of the tree: 3753\n','Number of leaves: 1862\nSize of the tree: 3723\n','Number of leaves: 1829\nSize of the tree: 3657\n','Number of leaves: 1972\nSize of the tree: 3943\n','Number of leaves: 1593\nSize of the tree: 3185\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 248\nSize of the tree: 495\n','Number of leaves: 200\nSize of the tree: 399\n','Number of leaves: 260\nSize of the tree: 519\n','Number of leaves: 186\nSize of the tree: 371\n','Number of leaves: 179\nSize of the tree: 357\n','Number of leaves: 180\nSize of the tree: 359\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 237\nSize of the tree: 473\n','Number of leaves: 1116\nSize of the tree: 2231\n','Number of leaves: 1090\nSize of the tree: 2179\n','Number of leaves: 1037\nSize of the tree: 2073\n','Number of leaves: 1064\nSize of the tree: 2127\n','Number of leaves: 1115\nSize of the tree: 2229\n','Number of leaves: 1136\nSize of the tree: 2271\n','Number of leaves: 1187\nSize of the tree: 2373\n','Number of leaves: 1012\nSize of the tree: 2023\n','Number of leaves: 1125\nSize of the tree: 2249\n','Number of leaves: 1189\nSize of the tree: 2377\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1028,52542,5838,977,4861,0,16.735183,83.264817,0,0.04563,0.035888,0.136747,96.708352,100.392158,28524.295717,574325.447401,-545801.151684,4.88597,98.377089,-93.491119,2745.900102,0.470349,9.626531,0.047619,5,0.001919,11,0.998081,5722,0.952381,100,0.3125,0.047619,0.082645,0.116174,0.608844,0.067646,0.167352,0.124713,0.875287,0.832648,0.184277,0.167352,0.090975,0.069099,0.580781,0.088279,0.090527,0.167352,26.553,0.071,26.140625,0.078125,26140.625,78.125,3644331,4888879,545407,86.279548,53.089629,'Number of leaves: 1567\nSize of the tree: 3133\n',3133,1567,1567
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1029,52542,5838,988,4850,0,16.923604,83.076396,0,0.048661,0.035928,0.137286,96.814706,100.78639,28528.076063,624763.271496,-596235.195433,4.886618,107.016662,-102.130044,2679.314072,0.458944,9.39185,0.009524,1,0.00314,18,0.99686,5715,0.990476,104,0.052632,0.009524,0.016129,0.014896,0.624859,0.031537,0.169236,0.123769,0.876231,0.830764,0.182445,0.169236,0.097327,0.072974,0.579538,0.086074,0.087724,0.169236,28.395,0.062,28.265625,0.0625,28265.625,62.5,3781447,4888879,545407,84.566632,52.161296,'Number of leaves: 1626\nSize of the tree: 3251\n',3251,1626,1626
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1029,52542,5838,976,4862,0,16.718054,83.281946,0,0.045105,0.035957,0.137051,96.891741,100.613187,28529.720037,560555.030931,-532025.310895,4.8869,96.018333,-91.131434,2687.870578,0.460409,9.4213,0.009524,1,0.002268,13,0.997732,5720,0.990476,104,0.071429,0.009524,0.016807,0.019716,0.619098,0.027707,0.167181,0.125037,0.874963,0.832819,0.168049,0.167181,0.09102,0.066244,0.576921,0.084311,0.083245,0.167181,35.46,0.062,34.84375,0.046875,34843.75,46.875,3651303,4888879,545407,86.176773,52.773244,'Number of leaves: 1570\nSize of the tree: 3139\n',3139,1570,1570
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.103,52542,5838,968,4870,0,16.581021,83.418979,0,0.04638,0.035963,0.137152,96.907304,100.687511,28530.662552,601022.615983,-572491.953431,4.887061,102.950088,-98.063027,2765.860049,0.473768,9.694342,0.009434,1,0.001745,10,0.998255,5722,0.990566,105,0.090909,0.009434,0.017094,0.023674,0.547284,0.023258,0.16581,0.122024,0.877976,0.83419,0.161517,0.16581,0.089923,0.065276,0.586551,0.086386,0.084562,0.16581,36.927,0.034,36.453125,0.03125,36453.125,31.25,3623415,4888879,545407,85.303186,51.521808,'Number of leaves: 1558\nSize of the tree: 3115\n',3115,1558,1558
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1031,52542,5838,978,4860,0,16.752312,83.247688,0,0.047174,0.035886,0.136698,96.700024,100.354577,28528.973318,597639.984574,-569111.011256,4.886772,102.370672,-97.483901,2825.076055,0.483912,9.902481,0.037736,4,0.001745,10,0.998255,5722,0.962264,102,0.285714,0.037736,0.066667,0.098249,0.609021,0.043875,0.167523,0.123143,0.876857,0.832477,0.187186,0.167523,0.092343,0.071217,0.586816,0.090083,0.083841,0.167523,32.732,0.036,32.625,0.03125,32625,31.25,3416579,4888879,545407,86.450839,52.591204,'Number of leaves: 1469\nSize of the tree: 2937\n',2937,1469,1469
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1031,52542,5838,959,4879,0,16.426859,83.573141,0,0.043675,0.036011,0.137344,97.035472,100.827596,28528.45064,618255.450309,-589726.999669,4.886682,105.901927,-101.015245,2613.571466,0.447683,9.161281,0.009434,1,0.001396,8,0.998604,5724,0.990566,105,0.111111,0.009434,0.017391,0.027356,0.612915,0.034537,0.164269,0.122869,0.877131,0.835731,?,0.164269,?,?,0.581284,0.084573,?,0.164269,37.139,0.037,36.6875,0.03125,36687.5,31.25,4002227,4888879,545407,85.525865,52.097818,'Number of leaves: 1721\nSize of the tree: 3441\n',3441,1721,1721
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1032,52542,5838,955,4883,0,16.358342,83.641658,0,0.042489,0.035925,0.13705,96.805852,100.612609,28524.178388,610689.769745,-582165.591357,4.88595,104.60599,-99.72004,2722.247802,0.466298,9.54365,0.009524,1,0.001221,7,0.998779,5726,0.990476,104,0.125,0.009524,0.017699,0.029828,0.646729,0.051755,0.163583,0.123753,0.876247,0.836417,0.177157,0.163583,0.09131,0.066056,0.584259,0.087764,0.077695,0.163583,36.172,0.039,35.96875,0.046875,35968.75,46.875,3786095,4888879,545407,85.268928,51.881856,'Number of leaves: 1628\nSize of the tree: 3255\n',3255,1628,1628
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1032,52542,5838,960,4878,0,16.443988,83.556012,0,0.044185,0.035906,0.137517,96.75356,100.955328,28525.732009,674951.683995,-646425.951986,4.886217,115.613512,-110.727296,2689.260326,0.460648,9.427489,0.009524,1,0.00314,18,0.99686,5715,0.990476,104,0.052632,0.009524,0.016129,0.014896,0.631445,0.035204,0.16444,0.122981,0.877019,0.83556,0.16125,0.16444,0.092065,0.064482,0.579894,0.087796,0.080807,0.16444,34.074,0.037,33.796875,0.03125,33796.875,31.25,4064975,4888879,545407,83.984241,51.569165,'Number of leaves: 1748\nSize of the tree: 3495\n',3495,1748,1748
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1033,52542,5838,965,4873,0,16.529633,83.470367,0,0.043838,0.035969,0.137053,96.92315,100.615765,28524.947407,604368.572915,-575843.625508,4.886082,103.523222,-98.63714,2713.954042,0.464877,9.514317,0.019048,2,0.001744,10,0.998256,5723,0.980952,103,0.166667,0.019048,0.034188,0.050774,0.59247,0.03564,0.165296,0.124138,0.875862,0.834704,0.180209,0.165296,0.090929,0.067777,0.579354,0.086452,0.076909,0.165296,33.99,0.034,33.515625,0.046875,33515.625,46.875,3788419,4888879,545407,85.542994,52.206302,'Number of leaves: 1629\nSize of the tree: 3257\n',3257,1629,1629
0_all-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1033,52542,5838,988,4850,0,16.923604,83.076396,0,0.049482,0.035856,0.137092,96.617524,100.642943,28528.261496,626644.154126,-598115.89263,4.88665,107.338841,-102.452191,2777.084952,0.475691,9.734505,0.019048,2,0.003314,19,0.996686,5714,0.980952,103,0.095238,0.019048,0.031746,0.034926,0.623472,0.03324,0.169236,0.122819,0.877181,0.830764,0.171476,0.169236,0.096987,0.071368,0.582487,0.088332,0.090007,0.169236,31.637,0.031,31.171875,0.03125,31171.875,31.25,3895323,4888879,545407,85.303186,51.764303,'Number of leaves: 1675\nSize of the tree: 3349\n',3349,1675,1675
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13987,1555,274,1281,0,17.620579,82.379421,0,0.051128,0.035831,0.137267,97.239894,101.142423,7362.349748,191505.170461,-184142.820713,4.73463,123.15445,-118.41982,855.105955,0.549907,11.614579,0,0,0.001306,2,0.998694,1529,1,24,0,0,0,-0.004493,0.616509,0.024672,0.176206,0.127698,0.872302,0.823794,?,0.176206,?,?,0.592497,0.093321,?,0.176206,1.913,0.007,1.875,0.015625,1875,15.625,1129768,1303269,147093,83.40836,36.384843,'Number of leaves: 485\nSize of the tree: 969\n',969,485,485
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13987,1555,259,1296,0,16.655949,83.344051,0,0.044706,0.035657,0.137512,96.760694,101.313838,7366.007565,191419.382056,-184053.374491,4.736982,123.099281,-118.362299,915.940645,0.589029,12.434696,0.083333,2,0.002613,4,0.997387,1527,0.916667,22,0.333333,0.083333,0.133333,0.160501,0.771541,0.094828,0.166559,0.125243,0.874757,0.833441,?,0.166559,?,?,0.603701,0.099315,?,0.166559,1.745,0.008,1.75,0.015625,1750,15.625,1048428,1303269,147093,84.244373,35.964945,'Number of leaves: 450\nSize of the tree: 899\n',899,450,450
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,243,1311,0,15.637066,84.362934,0,0.02633,0.035993,0.137502,97.671398,101.3059,7358.606783,166997.118933,-159638.51215,4.735268,107.462753,-102.727485,784.666154,0.504933,10.663243,0,0,0,0,1,1531,1,23,?,0,?,?,0.53006,0.019684,0.156371,0.132816,0.867184,0.843629,?,0.156371,?,?,0.581109,0.087396,?,0.156371,1.606,0.008,1.609375,0,1609.375,0,969412,1303362,147000,83.912484,37.647311,'Number of leaves: 416\nSize of the tree: 831\n',831,416,416
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,250,1304,0,16.087516,83.912484,0,0.024468,0.036256,0.13744,98.383038,101.25921,7359.663864,151171.153319,-143811.489455,4.735948,97.278734,-92.542786,542.739988,0.349254,7.374521,0.043478,1,0.00196,3,0.99804,1528,0.956522,22,0.25,0.043478,0.074074,0.098946,0.566595,0.036156,0.160875,0.138382,0.861618,0.839125,?,0.160875,?,?,0.557361,0.078433,?,0.160875,1.747,0.006,1.75,0.015625,1750,15.625,769548,1303362,147000,85.907336,48.754637,'Number of leaves: 330\nSize of the tree: 659\n',659,330,330
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,262,1292,0,16.859717,83.140283,0,0.044292,0.035841,0.137221,97.255697,101.094432,7362.430864,194635.198222,-187272.767357,4.737729,125.247875,-120.510146,924.295898,0.594785,12.554222,0,0,0.001306,2,0.998694,1529,1,23,0,0,0,-0.0044,0.674495,0.032917,0.168597,0.126572,0.873428,0.831403,?,0.168597,?,?,0.594447,0.095514,?,0.168597,1.643,0.008,1.625,0.015625,1625,15.625,1120472,1303362,147000,83.848134,36.451157,'Number of leaves: 481\nSize of the tree: 961\n',961,481,481
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,260,1294,0,16.731017,83.268983,0,0.031976,0.036248,0.136496,98.362102,100.562988,7359.297836,113740.178866,-106380.88103,4.735713,73.191878,-68.456165,596.895504,0.384103,8.110767,0,0,0.000653,1,0.999347,1530,1,23,0,0,0,-0.00311,0.581078,0.028545,0.16731,0.136617,0.863383,0.83269,?,0.16731,?,?,0.56865,0.083379,?,0.16731,1.833,0.006,1.828125,0.015625,1828.125,15.625,634756,1303362,147000,88.288288,49.676988,'Number of leaves: 272\nSize of the tree: 543\n',543,272,272
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,249,1305,0,16.023166,83.976834,0,0.036232,0.035966,0.13772,97.596689,101.464984,7359.695992,196840.43163,-189480.735637,4.735969,126.666944,-121.930975,830.617991,0.534503,11.286037,0.041667,1,0.001307,2,0.998693,1528,0.958333,23,0.333333,0.041667,0.074074,0.113378,0.633007,0.037923,0.160232,0.125889,0.874111,0.839768,?,0.160232,?,?,0.582283,0.086077,?,0.160232,1.702,0.009,1.6875,0,1687.5,0,1048428,1303362,147000,82.625483,36.579857,'Number of leaves: 450\nSize of the tree: 899\n',899,450,450
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,252,1302,0,16.216216,83.783784,0,0.037151,0.035939,0.137927,97.51796,101.612054,7363.711486,175501.995912,-168138.284426,4.738553,112.935647,-108.197094,803.978327,0.517361,10.918113,0,0,0.000654,1,0.999346,1529,1,24,0,0,0,-0.003178,0.659668,0.024845,0.162162,0.127239,0.872761,0.837838,?,0.162162,?,?,0.582996,0.089241,?,0.162162,1.87,0.009,1.859375,0.015625,1859.375,15.625,988004,1303362,147000,84.684685,37.705352,'Number of leaves: 424\nSize of the tree: 847\n',847,424,424
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,270,1284,0,17.374517,82.625483,0,0.054066,0.035667,0.13746,96.785376,101.272135,7362.328145,203220.853832,-195858.525686,4.737663,130.77275,-126.035087,908.162681,0.584403,12.335265,0.041667,1,0.001961,3,0.998039,1527,0.958333,23,0.25,0.041667,0.071429,0.09663,0.68415,0.08868,0.173745,0.123059,0.876941,0.826255,?,0.173745,?,?,0.595095,0.097079,?,0.173745,1.782,0.009,1.75,0.015625,1750,15.625,1129768,1303362,147000,82.175032,35.329447,'Number of leaves: 485\nSize of the tree: 969\n',969,485,485
10_light_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13988,1554,261,1293,0,16.795367,83.204633,0,0.027718,0.036321,0.136252,98.558538,100.38191,7363.770619,94503.41387,-87139.643251,4.738591,60.813008,-56.074417,537.233617,0.34571,7.295632,0,0,0.000654,1,0.999346,1529,1,24,0,0,0,-0.003178,0.564011,0.019113,0.167954,0.141963,0.858037,0.832046,?,0.167954,?,?,0.564393,0.080066,?,0.167954,1.775,0.005,1.765625,0,1765.625,0,509260,1303362,147000,89.382239,50.046685,'Number of leaves: 218\nSize of the tree: 435\n',435,218,218
11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13430,1493,229,1264,0,15.338245,84.661755,0,0.038706,0.036121,0.139442,97.41762,102.414091,7229.452195,274731.371299,-267501.919103,4.842232,184.012975,-179.170743,822.364759,0.550814,11.375202,0.028571,1,0.006859,10,0.993141,1448,0.971429,34,0.090909,0.028571,0.043478,0.038416,0.702792,0.081298,0.153382,0.116061,0.883939,0.846618,?,0.153382,?,?,0.590662,0.086187,?,0.153382,1.682,0.008,1.671875,0,1671.875,0,1227376,1251468,141327,78.298727,38.534074,'Number of leaves: 527\nSize of the tree: 1053\n',1053,527,527
11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13430,1493,254,1239,0,17.012726,82.987274,0,0.054007,0.035893,0.137197,96.801931,100.766971,7227.653936,204040.447568,-196812.793632,4.841027,136.664734,-131.823706,888.447992,0.595076,12.292343,0.085714,3,0,0,1,1458,0.914286,32,1,0.085714,0.157895,0.289609,0.561121,0.116549,0.170127,0.119112,0.880888,0.829873,?,0.170127,?,?,0.592901,0.094663,?,0.170127,1.622,0.009,1.625,0,1625,0,994976,1251468,141327,82.585399,38.04946,'Number of leaves: 427\nSize of the tree: 853\n',853,427,427
11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13430,1493,238,1255,0,15.941058,84.058942,0,0.033277,0.036087,0.136885,97.33616,100.549214,7225.000407,144403.908823,-137178.908416,4.83925,96.720636,-91.881385,777.748095,0.52093,10.764679,0.114286,4,0.004115,6,0.995885,1452,0.885714,31,0.4,0.114286,0.177778,0.204365,0.657182,0.145624,0.159411,0.12864,0.87136,0.840589,?,0.159411,?,?,0.597536,0.093152,?,0.159411,1.564,0.007,1.5625,0,1562.5,0,734688,1251468,141327,86.671132,45.150572,'Number of leaves: 315\nSize of the tree: 629\n',629,315,315
11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13431,1492,224,1268,0,15.013405,84.986595,0,0.03329,0.036076,0.138574,97.304066,101.786037,7217.800462,230874.118842,-223656.31838,4.837668,154.741367,-149.903699,813.042908,0.544935,11.264414,0.085714,3,0.006863,10,0.993137,1447,0.914286,32,0.230769,0.085714,0.125,0.128415,0.672988,0.113772,0.150134,0.118082,0.881918,0.849866,0.082116,0.150134,0.071966,0.032981,0.590365,0.087592,0.078893,0.150134,1.611,0.007,1.609375,0.015625,1609.375,15.625,1067020,1251561,141234,81.300268,39.52058,'Number of leaves: 458\nSize of the tree: 915\n',915,458,458
11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13431,1492,238,1254,0,15.951743,84.048257,0,0.034881,0.036097,0.13773,97.358606,101.165089,7219.087726,178586.681065,-171367.593339,4.838531,119.696167,-114.857636,742.519762,0.497667,10.285507,0.057143,2,0.004804,7,0.995196,1450,0.942857,33,0.222222,0.057143,0.090909,0.102304,0.600922,0.071003,0.159517,0.126332,0.873668,0.840483,?,0.159517,?,?,0.595103,0.089594,?,0.159517,1.608,0.007,1.59375,0.015625,1593.75,15.625,943848,1251561,141234,83.914209,41.836198,'Number of leaves: 405\nSize of the tree: 809\n',809,405,405
11_light_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.trees.J48,'-C 0.0126110455 -M 1',-217733168393644444,20220607.1034,13431,1492,237,1255,0,15.884718,84.115282,0,0.040612,0.03597,0.137822,97.014622,101.230073,7217.551485,214824.064739,-207606.513255,4.837501,143.983958,-139.146457,821.90995,0.550878,11.387656,0,0,0.002059,3,0.997941,1454,1,35,0,0,0,-0.006957,0.616874,0.032082,0.158847,0.120814,0.879186,0.841153,?,0.158847,?,?,0.587773,0.089557,?,0.158847,1.639,0.009,1.640625,0,1640.625,0,1055400,1251561,141234,83.713137,40.583767,'Number of leaves: 453\nSize of the tree: 905\n',905,453,453
